1777726393: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777728194: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777729995: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777731796: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777733597: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777735398: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777737199: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777739000: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777740801: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777742602: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777744403: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777746204: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777748005: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777749806: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777751607: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777753408: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777755209: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777757010: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777760037: mosquitto version 2.0.22 starting
1777760037: Config loaded from /mosquitto/config/mosquitto.conf.
1777760037: Opening ipv4 listen socket on port 1883.
1777760037: Opening ipv6 listen socket on port 1883.
1777760037: mosquitto version 2.0.22 running
1777761838: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777763639: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777765440: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777767241: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777769042: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777770843: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777772644: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777774445: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777776246: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777778047: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777779848: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777781649: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777783450: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777785251: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777787052: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777788853: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777790654: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777792455: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777794256: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777796057: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777797858: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777799659: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777801460: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777803261: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777805062: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777806863: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777808664: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777810465: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777812266: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777814067: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777815868: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777861252: mosquitto version 2.0.22 starting
